# group size    ns/op (op = key update)  
4               380084                   
8               560813                   
16              690126                   
32              920650                   
64              1032753                  
128             1136221                  
256             1257253                  
512             1557391                  
1024            1646349                  
2048            1891032                  
4096            2128039                  
8192            2065503                  
16384           2087928                  
32768           2147578                  
65536           2192774                  
131072          2313192                  
262144          2397854                  
524288          2572523                  
1048576         2741243                  
