# group size    ns/op (op = key update)  
2               362522                   
4               758728                   
8               1690838                  
16              3285833                  
32              6492881                  
64              12977957                 
128             27517995                 
256             52812161                 
512             107229953                
1024            230447735                
2048            508761312                
4096            1357227685               
8192            2283684800               
16384           4176119243               
32768           7612918484               
65536           14252399147              
131072          27548981224              
262144          53678006733              
524288          105694231584             
1048576         208229611279             
